FTB_FUNCTION,FTB_TAB,FTB_RENTITY,FTB_VISIBLE,FTB_SELECT,FTB_UPDATE,FTB_INSERT,FTB_DELETE,FTB_DISPLAYFT,FTB_SYSREQUIRED,FTB_SEQ,FTB_SQLEXIST,FTB_UPDATECOUNT,FTB_ALTERSAVE,FTB_INTERFACECODE,FTB_MEKEY,FTB_EWSBTN,FTB_XTYPE,FTB_NODESIGN,FTB_DESIGNPOPUP,FTB_LASTSAVED,FTB_PRODUCT
CCJOBS,ACD,,'-,?,*,'+,X,'-,'-,26,,1,,,YN,'-,,'-,'-,2021-11-20 01:25:52,B
CCJOBS,ACK,ACT,'+,?,*,,,'-,'-,40,,1,,,YY,'-,listonly,'-,'-,2023-04-11 17:51:43,W
CCJOBS,ACO,,'+,?,,'+,,'-,'+,19,,0,,WEWOOC,YY,'-,listdetailview,'-,'-,2021-08-20 13:37:52,B
CCJOBS,ACT,ACT,'+,?,*,'+,X,'-,'+,4,,0,'+,WEACTJ,YY,'-,,'-,'-,2021-08-20 13:37:52,B
CCJOBS,ADR,,'-,?,*,'+,X,'-,'-,25,,0,,,YN,'-,,'-,'-,2021-08-20 13:37:52,B
CCJOBS,AQU,,'+,?,,'+,X,'-,'-,28,,1,'+,WEJOBA,YN,'-,listdetailview,'-,'-,2022-05-21 01:00:57,B
CCJOBS,BOO,BOOK,'+,?,,'+,,'-,'+,5,,0,'+,WEBOOK,YY,'-,listdetailview,'-,'-,2021-08-20 13:37:52,B
CCJOBS,CEC,,'+,?,,,,'-,'-,56,,1,,,YY,'-,listonly,'+,'-,2022-10-21 17:55:05,B
CCJOBS,CGO,OBJ,'+,?,*,,,'-,'-,34,,1,,JECAME,YN,'-,listonly,'-,'-,2022-10-21 17:55:05,B
CCJOBS,CLC,,'+,?,*,'+,X,'-,'-,49,,0,,,YY,'-,closingcomments,'+,'-,2021-08-20 13:37:52,M
CCJOBS,CLO,,'+,?,*,'+,X,'-,'+,7,,1,,,YY,'-,recordview,'-,'-,2023-04-11 17:51:43,B
CCJOBS,CMT,,'+,?,*,'+,X,'-,'+,3,,0,,,YY,'-,,'+,'-,2021-08-20 13:37:52,B
CCJOBS,CST,,'+,?,,,,'-,'+,13,,0,,WECOST,YY,'-,recordview,'-,'-,2021-08-20 13:37:52,W
CCJOBS,CTR,,'+,?,,,,'-,'-,24,,2,,,YN,'-,listonly,'+,'-,2022-05-21 01:00:57,B
CCJOBS,CWO,,'+,?,*,'+,X,'-,,16,,1,'+,,YY,'-,,'-,'-,2022-05-21 01:00:57,B
CCJOBS,DAE,,'+,?,*,'+,X,'-,'-,53,,0,,,YY,'-,listonly,'-,'-,2021-08-20 13:37:52,B
CCJOBS,DES,,'-,?,*,'+,X,'-,'-,22,,1,,,YY,'-,,'-,'-,2025-04-03 03:01:21,B
CCJOBS,DIW,,'+,?,,,,'-,'-,47,,1,,,YY,'-,listonly,'+,'-,2022-05-21 01:00:57,B
CCJOBS,DOC,,'+,?,*,'+,X,'-,,11,,0,,,YY,'-,,'-,'-,2021-08-20 13:37:52,B
