PLO_USERGROUP,PLO_PAGENAME,PLO_ELEMENTID,PLO_ELEMENTTYPE,PLO_PRESENTINJSP,PLO_ATTRIBUTE,PLO_FIELDCONTAINER,PLO_FIELDGROUP,PLO_POSITIONINGROUP,PLO_FIELDCONTTYPE,PLO_TABINDEX,PLO_SYSTEMATTRIBUTE,PLO_CHANGED,PLO_UPDATECOUNT,PLO_MEKEY,PLO_MEFLAG,PLO_DEFAULTVALUE,PLO_PARENTPAGE,PLO_LASTSAVED
DK,CCJOBS,aboveceilingpermit,F,Y,H,cont_9.1,1,1,1,2820,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,accountingentity,F,Y,P,cont_4.5,3,1,1,570,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,actenddate,F,Y,H,cont_8,2,1,1,1590,R,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,actioncode,F,Y,H,cont_6,8,1,1,970,O,'+,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,actioncodedesc,F,Y,H,cont_6,29,1,1,1210,P,'+,0,YY,,,WSJOBS,2024-04-04 01:09:33
DK,CCJOBS,activity,F,Y,H,cont_7,1,1,1,1490,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,actstartdate,F,Y,H,cont_8,1,1,1,1580,R,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,alertcode,F,Y,H,cont_5,18,1,1,790,P,'+,0,YN,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,alias,F,Y,H,cont_2,6,1,1,140,P,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,assignedbyname,F,Y,H,cont_9,18,1,1,2800,P,'+,0,YY,,,WSJOBS,2024-04-04 01:09:33
DK,CCJOBS,assignedto,F,Y,O,cont_9,4,1,1,2620,O,'+,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,assignedtodesc,F,Y,H,cont_9,5,1,1,2630,P,'+,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,asslevel,F,Y,H,cont_8,7,1,1,1640,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,block_1,B,Y,O,,,,,,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,block_10,B,Y,O,,,,,,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,block_12,B,Y,H,,,,,,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
DK,CCJOBS,block_13,B,Y,H,,,,,,O,'-,0,YY,,,WSJOBS,2023-10-16 13:02:29
