TRP_FUNCTION,TRP_TAB,TRP_GROUP,TRP_VISIBLE,TRP_SELECT,TRP_UPDATE,TRP_INSERT,TRP_DELETE,TRP_SYSREQUIRED,TRP_UPDATECOUNT,TRP_SEQUENCE,TRP_SECURITYDDSPYID,TRP_ALTERSAVE,TRP_UPDATED,TRP_LASTSAVED
CCJOBS,ACD,DK,'-,?,*,'+,X,'-,0,26,,,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,ACK,DK,'+,?,*,,,'-,0,40,,,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,ACO,DK,'+,?,,'+,,'+,0,19,,,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,ACT,DK,'+,?,*,'+,X,'+,0,4,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,ADR,DK,'-,?,*,'+,X,'-,0,25,,,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,AQU,DK,'+,?,,'+,X,'-,0,28,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,BOO,DK,'+,?,,'+,,'+,0,5,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,CEC,DK,'+,?,,,,'-,0,101,,,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,CGO,DK,'+,?,*,,,'-,0,34,,,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,CLC,DK,'+,?,*,'+,X,'-,0,49,,,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,CLO,DK,'+,?,*,'+,X,'+,0,55,,,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,CMT,DK,'+,?,*,'+,X,'+,0,3,,,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,CST,DK,'+,?,,,,'+,0,13,,,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,CTR,DK,'+,?,,,,'-,0,24,,,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,CWO,DK,'+,?,*,'+,X,,0,16,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,DAE,DK,'-,?,*,'+,X,'-,0,63,,,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,DES,DK,'-,?,*,'+,X,'-,2,22,,,2025-04-03 03:01:59,2025-04-03 03:01:59
CCJOBS,DIW,DK,'+,?,,,,'-,0,47,,,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,DOC,DK,'+,?,*,'+,X,'+,0,11,,,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,DPD,DK,,,,,,,1,104,,'+,2026-04-02 01:02:59,2026-04-02 01:02:59
CCJOBS,EAC,DK,'+,?,*,'+,X,'-,0,61,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,EER,DK,'+,?,*,'+,X,'-,0,62,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,EPO,DK,'-,?,*,'+,X,'-,0,29,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,ERC,DK,'-,?,,,,'-,0,21,,,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,ETP,DK,'+,?,*,'+,X,'-,0,27,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,GPH,DK,'+,?,,,,'-,0,38,,,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,JBL,DK,'+,?,*,'+,X,'-,0,18,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,JOB,DK,'-,?,*,'+,X,'-,0,41,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,KSF,DK,'+,?,*,'+,X,'-,0,39,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,LNO,DK,'-,?,,,,'-,0,44,,,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,MAP,DK,'+,?,*,,,'-,0,48,,,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,MDR,DK,'+,?,*,'+,X,'-,0,32,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,MEC,DK,'+,?,*,'+,X,'-,0,12,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,NCF,DK,'-,?,*,'+,X,'-,0,46,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,NCT,DK,'-,?,*,'+,X,'-,0,64,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,ORD,DK,'+,?,,,,'-,0,17,,,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,PAR,DK,'+,?,*,'+,X,'+,0,10,,,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,PAS,DK,'-,?,*,'+,X,'-,0,23,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,PEV,DK,'+,?,*,'+,,,0,30,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,PFA,DK,'+,?,*,'+,X,'-,0,31,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,PLA,DK,'-,?,*,'+,X,'-,0,43,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
CCJOBS,REA,DK,'+,?,*,'+,X,,0,9,,'+,2023-10-16 13:02:29,2023-10-16 13:02:29
